Operating Unit	Country	ISO3	Indicator	Description	Coarse Age	Sex	Modality	2018-T	2018Q1-R	2018Q2-R	2018Q3-R	2018Q4-R	2019-T	2019Q1-R	2019Q2-R	2019Q3-R	2019Q4-R	2020-T	2020Q1-R	2020Q2-R	2020Q3-R	2020Q4-R	2021-T	2021Q1-R	2021Q2-R	2021Q3-R	2021Q4-R	2022-T	2022Q1-R	2022Q2-R	2022Q3-R	2022Q4-R	2023-T	2023Q1-R	2023Q2-R	2023Q3-R	2023Q4-R	2024-T	2024Q1-R	2024Q2-R	2024Q3-R
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	Active Index																															5,085			
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	IndexMod											402		146	66	280	742	178	188	232	555	455	450	465	458	170	604	285	199	364	349		130	380	1,200
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	Index							304	312	303	225	1,024		230	142	220	115	114	192	143	115	613	91	90	93	74	228	51	69	54	81		75	44	101
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Female	Index													18	6	7																			
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Male	Active Index																															4,302			
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Male	IndexMod													5					1		8		5												
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	Index							286	304	288	164	15,629		366	118	193	550	106	143	144	109	1,484	75	69	83	81	555	61	79	58	77		62	65	104
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	Active Index																															5,227			
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Female	IndexMod															1			1		6		6												
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	IndexMod											83		530	231	701	1,128	870	640	722	1,361	1,880	1,410	838	1,214	795	7,200	738	976	1,667	1,528		1,142	3,107	6,980
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	Unknown Age	Male	Index													21	4	16																			
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	15+	Female	IndexMod											3,370		7	15	80	435	68	31	19	91	955	393	94	90	15	980	128	18	33	52		72	329	1,082
Angola	Angola	AGO	HTS_INDEX	Individuals tested for HIV using index testing services	<15	Unknown Sex	Index							595	801	762	494	206		304	244	404	2,284	239	564	364	269	1,328	325	437	517	433	390	243	388	265	313		123	205	178
Angola	Angola	AGO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	<15	Unknown Sex	Index							150	222	162	120			183	125	224		125	290	146	20		14	28	42	22		19	2	16	41		22	8	5
Angola	Angola	AGO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	15+	Male	Index							41	62	57	39			149	85	216		130	186	108	115		96	133	108	21		12	29	78	36		96	15	29
Angola	Angola	AGO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	15+	Female	Index							38	68	61	37			60	59	101		73	74	42	18		14	16	8	3		2		1	12		66	38	40
Angola	Angola	AGO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	Unknown Age	Female	Index													9	3	3							1												
Angola	Angola	AGO	HTS_INDEX_KNOWNPOS	Individuals Known to be positive who were identified using index testing services	Unknown Age	Male	Index													18	2	6					1		1												
Angola	Angola	AGO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	<15	Unknown Sex	Index							417	528	570	333	202		607	317	818	3,092	940	855	895	1,527	2,915	1,493	991	1,375	936	7,194	805	1,114	1,745	1,616	4,774	608	3,235	7,026
Angola	Angola	AGO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	Unknown Age	Male	Index													3	2	9			1		7		3												
Angola	Angola	AGO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	15+	Male	Index							186	176	174	132	999		103	51	160	614	97	111	166	340	793	283	252	297	137	454	254	161	263	284	3,634	79	359	1,182
Angola	Angola	AGO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	15+	Female	Index							134	117	126	72	13,300		111	25	39	746	39	33	34	67	1,562	312	55	68	26	1,089	135	21	36	32	4,543	46	320	1,056
Angola	Angola	AGO	HTS_INDEX_NEWNEG	Individuals newly testing negative by index testing services	Unknown Age	Female	Index													1	1	2			1		6		3												
Angola	Angola	AGO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	Unknown Age	Female	Index													8	2	3							2												
Angola	Angola	AGO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	Unknown Age	Male	Index													5		1							1												
Angola	Angola	AGO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	15+	Male	Index							77	74	72	54	427		124	72	124	243	65	83	101	215	275	162	170	146	86	378	70	78	77	110	668	30	50	90
Angola	Angola	AGO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	<15	Unknown Sex	Index							28	51	30	41	87		44	33	63	320	44	59	45	83	293	66	53	67	68	396	47	66	44	52	311	27	69	127
Angola	Angola	AGO	HTS_INDEX_NEWPOS	Individuals newly testing positive by index testing services	15+	Female	Index							114	119	101	55	5,699		202	49	133	239	62	67	87	115	877	142	92	97	67	446	52	76	54	85	684	22	36	90
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	Index													9	3	4																			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Index	315	329	400	369	447	216	445	579	600	374	206		128	122	201	2,284	125	281	240	269	1,328	172	227	270	231	390	133	206	138	148		61	197	175
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Index	1,249	185	166	198	207	750	263	250	246	186	1,024		149	71	108	115	55	96	99	115	613	91	84	93	74	228	51	69	54	63		27	37	86
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Male	TBClinic				4	1								3																					
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Post ANC1								1,281	1,134	1,165		3,821	3,568	2,302	3,658	920	3,309	5,359	4,284	3,916	30,549	3,165	5,204	4,037	3,672	33,360	3,816	8,508	9,981	9,564	33,219			
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Post ANC1								3	4	4		18	9	2	10		5	17	137	11	166	6	11	6	7	32	12	19	29	20				
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	Pediatric	3,838	1,232	1,417	1,329	1,512	3,839	232	282	295	385		128	229	170	98		146	142	164	159	299	112	85	583	552	535								
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	Unknown Age	Female	TBClinic				5									3																					
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Other PITC	6,630	2,847	2,430	2,876	2,560	6,678	2,594	2,593	3,052	2,497		3,776	5,203	5,626	3,844	1,039	4,030	4,301	6,412	4,598	11,691	4,368	4,421	4,643	3,234	10,268	3,450	3,686	4,154	4,252		4,079	5,247	6,420
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	IndexMod	594	287		654							3,370		6	15	76	435	47	28	15	73	955	379	83	82	12	980	126	18	32	50		39	303	1,064
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Male	Inpat	652	63	154	147	106	653	75	57	79	89		219	164	145	196	1,219	109	136	147	217	1,120	160	169	253	245	1,715	223	217	183	160		172	180	151
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	<15	Unknown Sex	OtherMod															1		2		2	18	2		67	114	29	5	203	54	15	59			68	42
Angola	Angola	AGO	HTS_TST	Individuals tested for HIV and received their results	15+	Female	Emergency Ward			772	3,093	2,383	338	2,539	2,912	3,009	2,898		2,032	3,497	2,782	3,022	3,451	3,173	3,463	4,139	3,651	7,919	3,585	1,576	4,274	2,476	10,924	4,274	659	1,037	1,326		2,047	3,006	2,867
